Frame Seq, Obj_index, x, y, z, velocity, snr, noise
# Frame 316: DetectedObjs=4 : numTLVs=5
403,obj_1,0.01772,0.56690,0.00000,0.00000,315,710
403,obj_2,0.00000,0.82895,0.00000,0.00000,297,567
403,obj_3,0.00000,1.09072,0.00000,0.00000,182,492
# Frame 404: DetectedObjs=4 : numTLVs=5
404,obj_0,0.00954,0.30525,0.00000,0.00000,243,892
404,obj_1,0.01772,0.56690,0.00000,0.00000,318,706
404,obj_2,0.00000,0.82895,0.00000,0.00000,293,571
404,obj_3,-0.03408,1.09018,0.00000,0.00000,166,498
# Frame 405: DetectedObjs=4 : numTLVs=5
405,obj_0,0.00954,0.30525,0.00000,0.00000,243,892
405,obj_1,0.01772,0.56690,0.00000,0.00000,317,707
405,obj_2,0.00000,0.82895,0.00000,0.00000,286,578
405,obj_3,0.00000,1.09072,0.00000,0.00000,167,498
# Frame 406: DetectedObjs=4 : numTLVs=5
406,obj_0,0.00954,0.30525,0.00000,0.00000,242,893
406,obj_1,0.01772,0.56690,0.00000,0.00000,311,713
406,obj_2,0.00000,0.82895,0.00000,0.00000,287,577
406,obj_3,0.00000,1.09072,0.00000,0.00000,170,498
# Frame 407: DetectedObjs=4 : numTLVs=5
407,obj_0,0.00954,0.30525,0.00000,0.00000,243,892
407,obj_1,0.01772,0.56690,0.00000,0.00000,314,710
407,obj_2,0.00000,0.82895,0.00000,0.00000,292,573
407,obj_3,-0.03408,1.09018,0.00000,0.00000,181,484
# Frame 408: DetectedObjs=4 : numTLVs=5
